#This data is for 4 procs on varying node sizes and swap number
#num nodes	swaps	swap_per_node	avg_send
4096	100		0.024	1.000
4096	1000	0.244	1.667
4096	10000	2.441	3.833
4096	20000	4.883	21.667
4096	50000	12.207	336.167
4096	75000	18.311	386.667
4096	100000	24.414	382.917

#
2048	10		0.005	1.0	
2048	100		0.049	1.0
2048	250		0.122	1.667
2048	500		0.244	1.333
2048	750		0.366	1.833
2048	1000	0.488	1.667	
2048	5000	2.441	5.833
2048	10000	4.883	17.500	
2048	15000	7.324	47.083
2048	20000	9.766	133.000	
2048	30000	14.648	189.750	
2048	40000	19.531	191.167
2048	50000	24.414	191.333
#
1024	10		0.010	1.000
1024	250		0.244	1.333
1024	750		0.732	1.833
1024	1500	1.464	3.500
1024	5000	4.882	17.167
1024	7500	7.324	54.583
1024	10000	9.766	89.917
1024	12500	12.207	95.417
1024	15000	14.648	97.500
1024	20000	19.531	96.583
#

