#beta:	avg magnetisation:
0.010000	0.007200
0.020000	0.017566
0.030000	0.019503
0.040000	0.018316
0.050000	0.013038
0.060000	0.014363
0.070000	0.012388
0.080000	0.013391
0.090000	0.013503
0.100000	0.013406
0.110000	0.015534
0.120000	0.014909
0.130000	0.014644
0.140000	0.015925
0.150000	0.015134
0.160000	0.014866
0.170000	0.017094
0.180000	0.014756
0.190000	0.017812
0.200000	0.014122
0.210000	0.016103
0.220000	0.014956
0.230000	0.016700
0.240000	0.017197
0.250000	0.018866
0.260000	0.015303
0.270000	0.017247
0.280000	0.019275
0.290000	0.019916
0.300000	0.019197
0.310000	0.020106
0.320000	0.019122
0.330000	0.019631
0.340000	0.019263
0.350000	0.023134
0.360000	0.024150
0.370000	0.018628
0.380000	0.023675
0.390000	0.023622
0.400000	0.023047
0.410000	0.029269
0.420000	0.028856
0.430000	0.026931
0.440000	0.023612
0.450000	0.031550
0.460000	0.023825
0.470000	0.042425
0.480000	0.038138
0.490000	0.033209
0.500000	0.036772
0.510000	0.064994
0.520000	0.062356
0.530000	0.079962
0.540000	0.078316
0.550000	0.101031
0.560000	0.195138
0.570000	0.461519
0.580000	0.564847
0.590000	0.637328
0.600000	0.668897
0.610000	0.723834
0.620000	0.761259
0.630000	0.777003
0.640000	0.813619
0.650000	0.823531
0.660000	0.842837
0.670000	0.868037
0.680000	0.877894
0.690000	0.887478
0.700000	0.896228
0.710000	0.912559
0.720000	0.916319
0.730000	0.927028
0.740000	0.933409
0.750000	0.939247
0.760000	0.942994
0.770000	0.949281
0.780000	0.952212
0.790000	0.957128
0.800000	0.961666
0.810000	0.964309
0.820000	0.967125
0.830000	0.967669
0.840000	0.972947
0.850000	0.974003
0.860000	0.976281
0.870000	0.978575
0.880000	0.978653
0.890000	0.981222
0.900000	0.982203
0.910000	0.983063
0.920000	0.985506
0.930000	0.986306
0.940000	0.987462
0.950000	0.988197
0.960000	0.988809
0.970000	0.989897
0.980000	0.990750
0.990000	0.991116
#total time taken: 42.777747
#Machine geometry: 3200 nodes in each set (6400 total nodes)  on 4 procs. 800 nodes per proc
#number of swaps done to create random graph: 172800
#number of update steps: 100
