#beta:	avg magnetisation:
0.050000	0.014272
0.100000	0.014441
0.150000	0.015014
0.200000	0.016150
0.250000	0.017053
0.300000	0.018288
0.350000	0.019936
0.400000	0.022382
0.450000	0.024685
0.500000	0.028459
0.550000	0.030926
0.600000	0.035007
0.650000	0.039094
0.700000	0.045472
0.750000	0.052763
0.800000	0.051023
0.850000	0.056258
0.900000	0.075443
0.950000	0.093012
1.000000	0.058379
1.050000	0.061665
1.100000	0.072238
1.150000	0.041171
1.200000	0.075179
1.250000	0.083727
1.300000	0.165057
1.350000	0.237082
1.400000	0.254467
1.450000	0.316621
1.500000	0.330232
1.550000	0.354602
1.600000	0.384082
1.650000	0.335799
1.700000	0.378747
1.750000	0.422288
1.800000	0.477216
1.850000	0.481290
1.900000	0.507397
1.950000	0.448721
#total time taken: 390.593072
#Machine geometry: 3200 nodes in each set (6400 total nodes)  on 4 procs. 800 nodes per proc
#no swaps done. Graph is double ring graph
#number of update steps: 10000
